username,age,gender,type_of_consulting,consulting_content,sentiment,the_consultant
lisa00,39,Female,Financial,Tax optimization,0.63,Human
frances41,23,Female,Business,Marketing strategies,0.92,Human
davisheather,65,Female,Business,Leadership and management,0.06,AI
christinerivera,52,Female,Business,Leadership and management,0.71,Human
xlove,20,Male,Lifestyle,Home organization hacks,0.46,AI
samuel35,34,Male,Business,Marketing strategies,0.16,AI
ryanmorales,68,Female,Business,Marketing strategies,0.94,Human
wthompson,51,Female,Lifestyle,Home organization hacks,0.91,Human
michael59,53,Male,Personal,Career coaching,0.66,AI
john76,29,Male,Health,Chronic illness management,0.99,AI
bbishop,31,Male,Personal,Career coaching,0.8,Human
margaretglass,29,Male,Technology,Software development tips,0.82,AI
jonathanvaldez,50,Male,Financial,Tax optimization,0.3,Human
ruizpam,60,Male,Financial,Budgeting and saving,0.14,Human
mullinsdanielle,47,Female,Personal,Stress management techniques,0.77,Human
belindaperry,45,Other,Lifestyle,Sustainable living tips,0.85,Human
jhiggins,43,Other,Lifestyle,Sustainable living tips,0.45,AI
jamesbarnes,30,Other,Technology,Software development tips,0.49,Human
lewisbrian,44,Other,Personal,Career coaching,0.22,AI
lori86,47,Female,Personal,Career coaching,0.37,AI
cindycarroll,53,Female,Financial,Budgeting and saving,0.73,AI
bweber,35,Female,Health,Exercise routines,0.71,AI
wagnerjeffrey,48,Male,Health,Chronic illness management,0.86,AI
deankatelyn,44,Male,Business,Leadership and management,0.63,AI
sarahbutler,20,Male,Lifestyle,Personal development,0.98,Human
kbrown,44,Male,Personal,Life goal planning,0.81,Human
hansonnathan,44,Male,Health,Dietary advice,0.73,AI
christinaking,20,Other,Personal,Life goal planning,0.28,AI
samantha94,69,Other,Personal,Career coaching,0.76,Human
audreygonzalez,37,Other,Health,Mental wellness,0.49,Human
apeterson,56,Female,Personal,Stress management techniques,0.88,Human
anthonykelley,67,Male,Health,Exercise routines,0.87,AI
hparks,50,Other,Technology,Software development tips,0.07,Human
mullinsjessica,61,Female,Personal,Career coaching,0.33,AI
paul38,34,Male,Personal,Relationship advice,0.93,Human
frankchurch,30,Male,Personal,Life goal planning,0.17,AI
christopherking,60,Female,Personal,Career coaching,0.79,Human
flynnrachel,37,Female,Technology,Software development tips,0.71,AI
parkangela,68,Male,Financial,Tax optimization,0.87,AI
joyschmidt,20,Male,Financial,Investment strategies,0.95,AI
bjohnson,34,Female,Financial,Tax optimization,0.88,AI
twu,47,Other,Health,Dietary advice,0.82,AI
hedwards,49,Female,Financial,Budgeting and saving,0.01,Human
briansnyder,37,Male,Health,Mental wellness,0.56,Human
angela93,23,Male,Technology,Cybersecurity best practices,0.13,Human
elliottnathan,70,Male,Personal,Stress management techniques,0.3,AI
qgross,67,Female,Health,Dietary advice,0.11,Human
whitekevin,60,Male,Business,Leadership and management,0.93,Human
dwilliams,70,Female,Business,Leadership and management,0.62,AI
kristineraymond,53,Female,Technology,Cybersecurity best practices,0.76,AI
kharris,39,Female,Financial,Retirement planning,0.55,Human
uhamilton,70,Female,Business,Starting a small business,0.91,Human
alexanderalyssa,49,Female,Lifestyle,Travel planning,0.67,AI
dbullock,54,Female,Lifestyle,Sustainable living tips,0.92,Human
goodmansherry,28,Female,Technology,Emerging tech trends,0.52,Human
robertestes,68,Male,Lifestyle,Personal development,0.53,AI
padillamark,59,Male,Health,Dietary advice,0.77,AI
christinagardner,27,Male,Business,Marketing strategies,0.5,AI
joelgarner,48,Other,Health,Dietary advice,0.85,AI
sonyadeleon,42,Male,Lifestyle,Home organization hacks,0.91,Human
brian64,58,Female,Health,Mental wellness,0.3,Human
ojohnson,43,Male,Lifestyle,Home organization hacks,0.48,AI
mallorymcpherson,19,Female,Personal,Life goal planning,0.92,Human
owensmichael,36,Male,Health,Dietary advice,0.71,AI
thompsonroberta,44,Male,Personal,Career coaching,0.4,AI
tiffanyrichards,46,Other,Financial,Budgeting and saving,0.0,Human
maria77,40,Other,Financial,Investment strategies,0.68,Human
rbeltran,23,Other,Technology,Gadget recommendations,0.98,AI
cynthia07,61,Other,Technology,Emerging tech trends,0.96,AI
sfloyd,18,Male,Personal,Career coaching,0.02,AI
mriley,49,Other,Business,Starting a small business,0.74,Human
freemanjames,49,Other,Personal,Relationship advice,0.42,AI
lisaflowers,28,Male,Personal,Relationship advice,0.54,AI
kristenscott,32,Male,Personal,Life goal planning,0.94,Human
fwalker,26,Male,Lifestyle,Personal development,0.2,AI
angela36,58,Male,Technology,Cybersecurity best practices,0.44,Human
tina76,57,Male,Personal,Stress management techniques,0.73,Human
antonio01,46,Female,Lifestyle,Personal development,0.81,Human
jordan07,34,Female,Financial,Tax optimization,0.93,AI
mwhite,26,Female,Personal,Relationship advice,0.58,AI
mollysmith,22,Male,Personal,Life goal planning,0.4,AI
abigail23,51,Male,Lifestyle,Sustainable living tips,0.93,Human
whitebradley,20,Male,Business,Starting a small business,0.94,Human
jordan89,56,Male,Technology,Software development tips,0.01,Human
xsmith,48,Female,Financial,Retirement planning,0.39,Human
richardtucker,61,Other,Lifestyle,Sustainable living tips,0.95,Human
ywilliams,44,Male,Lifestyle,Personal development,0.89,Human
josephfox,26,Female,Technology,Emerging tech trends,0.05,Human
danielricardo,31,Female,Financial,Budgeting and saving,0.24,Human
druiz,21,Other,Personal,Stress management techniques,0.84,Human
contrerasdawn,68,Male,Personal,Relationship advice,0.11,AI
kennethreese,36,Other,Business,Productivity tools,0.63,AI
lpatterson,52,Female,Lifestyle,Travel planning,0.05,AI
jacquelinewilliams,67,Other,Business,Leadership and management,0.65,AI
blove,52,Male,Health,Dietary advice,0.93,AI
dwood,47,Female,Health,Dietary advice,0.38,Human
proctorjessica,50,Male,Lifestyle,Personal development,0.16,AI
ernestrivera,36,Female,Health,Dietary advice,0.71,AI
ahopkins,57,Male,Financial,Retirement planning,0.8,AI
colemelissa,67,Female,Personal,Relationship advice,0.97,Human
ufreeman,52,Male,Health,Exercise routines,0.05,Human
patricklewis,27,Female,Health,Chronic illness management,0.87,AI
aperry,40,Female,Lifestyle,Sustainable living tips,0.42,AI
lharris,32,Female,Lifestyle,Travel planning,0.1,AI
ryan82,61,Male,Business,Leadership and management,0.23,AI
gfranklin,29,Female,Health,Mental wellness,0.21,Human
william61,45,Male,Lifestyle,Home organization hacks,0.77,Human
mark36,63,Female,Business,Marketing strategies,0.66,AI
cjordan,41,Male,Business,Productivity tools,0.17,AI
sara95,38,Female,Financial,Budgeting and saving,0.81,AI
nancy90,19,Female,Health,Chronic illness management,0.97,AI
michaelmorrison,18,Female,Personal,Relationship advice,0.87,Human
jonathonshaw,41,Male,Technology,Gadget recommendations,0.74,AI
kgrant,55,Female,Technology,Cybersecurity best practices,0.43,Human
john88,41,Male,Lifestyle,Personal development,0.16,AI
psantana,33,Female,Personal,Career coaching,0.81,Human
vincent15,21,Male,Business,Productivity tools,0.75,Human
drewmoss,68,Male,Personal,Life goal planning,0.25,AI
ypowell,69,Male,Lifestyle,Personal development,0.04,AI
olester,29,Female,Technology,Gadget recommendations,0.8,AI
carla43,67,Male,Technology,Software development tips,0.8,AI
pearsonjames,43,Female,Personal,Life goal planning,0.24,AI
brendadunn,65,Female,Business,Marketing strategies,0.99,Human
higginsmackenzie,52,Other,Lifestyle,Home organization hacks,0.81,Human
alyssawilliams,56,Female,Technology,Cybersecurity best practices,0.18,Human
harold30,70,Other,Technology,Cybersecurity best practices,0.93,AI
ryan68,68,Other,Personal,Life goal planning,0.97,Human
jennifer47,47,Male,Business,Starting a small business,0.55,AI
jamesmendoza,24,Female,Technology,Gadget recommendations,0.65,Human
mistyglenn,69,Male,Financial,Tax optimization,0.58,Human
qhale,62,Male,Technology,Gadget recommendations,0.32,Human
patrick97,49,Male,Lifestyle,Sustainable living tips,0.92,Human
moorezachary,20,Female,Lifestyle,Sustainable living tips,0.16,AI
jacobklein,55,Other,Health,Mental wellness,0.66,Human
johnsonjeffrey,54,Male,Financial,Tax optimization,0.77,AI
lholland,39,Other,Lifestyle,Sustainable living tips,0.94,Human
owilson,68,Male,Business,Marketing strategies,0.81,Human
wendycarson,48,Other,Lifestyle,Home organization hacks,0.96,Human
krobertson,29,Other,Health,Mental wellness,0.98,AI
rnelson,30,Female,Financial,Investment strategies,0.19,Human
gabriel85,52,Other,Business,Marketing strategies,0.71,Human
kcontreras,35,Female,Health,Exercise routines,0.88,AI
wroth,20,Male,Health,Chronic illness management,0.36,Human
christy45,21,Male,Personal,Stress management techniques,0.34,AI
jonathonmichael,23,Male,Lifestyle,Sustainable living tips,0.05,AI
vfrancis,64,Male,Financial,Investment strategies,0.76,AI
morrisonalicia,18,Male,Health,Dietary advice,0.97,AI
lcampbell,49,Other,Lifestyle,Personal development,0.82,Human
jfrancis,55,Male,Personal,Life goal planning,0.32,AI
shawnacolon,45,Female,Lifestyle,Personal development,0.79,Human
uterry,70,Male,Lifestyle,Travel planning,0.73,Human
suzannebrooks,58,Female,Financial,Tax optimization,0.89,AI
wesley60,48,Other,Financial,Investment strategies,0.85,AI
stephen89,50,Other,Business,Leadership and management,0.19,AI
carpentersusan,21,Male,Financial,Investment strategies,0.71,AI
odonnellchelsea,36,Female,Business,Productivity tools,0.2,AI
ybartlett,39,Female,Financial,Budgeting and saving,0.51,Human
jenningsashley,33,Male,Lifestyle,Home organization hacks,0.45,AI
dwalker,30,Male,Financial,Retirement planning,0.23,Human
sheltonrobert,42,Female,Technology,Gadget recommendations,0.03,Human
ilynch,68,Female,Lifestyle,Home organization hacks,0.28,AI
kcabrera,52,Male,Health,Chronic illness management,0.8,AI
mestes,38,Male,Lifestyle,Sustainable living tips,0.54,AI
walter40,56,Male,Lifestyle,Travel planning,0.9,Human
michele54,64,Male,Health,Mental wellness,0.43,Human
geraldsimmons,63,Female,Technology,Software development tips,0.75,AI
alyssasmith,22,Male,Financial,Tax optimization,0.3,Human
heather45,37,Female,Personal,Stress management techniques,0.8,Human
william35,26,Male,Technology,Gadget recommendations,0.58,Human
ile,54,Female,Technology,Emerging tech trends,0.89,AI
jennifer87,44,Female,Technology,Cybersecurity best practices,1.0,AI
josephthompson,33,Male,Technology,Software development tips,0.14,Human
ashley88,67,Male,Personal,Life goal planning,0.98,Human
ocase,64,Male,Business,Starting a small business,0.74,Human
deborah69,42,Male,Financial,Budgeting and saving,0.76,AI
mlang,48,Male,Business,Productivity tools,0.67,AI
riosmelanie,53,Male,Technology,Software development tips,0.28,Human
selena93,44,Female,Business,Leadership and management,0.04,AI
johnwilliams,43,Male,Business,Marketing strategies,0.54,AI
johnlogan,18,Male,Personal,Stress management techniques,0.04,AI
fgardner,39,Female,Financial,Tax optimization,0.62,Human
webbdiana,23,Male,Financial,Budgeting and saving,0.88,AI
meagan97,67,Female,Technology,Cybersecurity best practices,0.51,Human
dickersonrobert,29,Male,Technology,Gadget recommendations,0.29,Human
emilymanning,23,Male,Lifestyle,Home organization hacks,0.04,AI
wthompson,39,Female,Business,Leadership and management,0.92,Human
mary07,66,Female,Business,Productivity tools,0.85,Human
haleydaniel,69,Male,Personal,Relationship advice,0.08,AI
wendy19,70,Male,Financial,Budgeting and saving,0.95,AI
dominique53,55,Male,Financial,Tax optimization,0.06,Human
raymondwatson,53,Male,Lifestyle,Personal development,0.72,Human
debraryan,23,Male,Lifestyle,Sustainable living tips,0.83,Human
zhughes,56,Male,Health,Chronic illness management,0.61,Human
matthew55,49,Male,Financial,Tax optimization,0.65,Human
josephgrant,68,Male,Personal,Stress management techniques,0.73,Human
montgomerydebbie,70,Female,Technology,Cybersecurity best practices,0.93,AI
masseyjill,26,Male,Business,Marketing strategies,0.7,Human
brandonmartinez,56,Female,Technology,Emerging tech trends,0.77,AI
collinsnicole,37,Male,Financial,Budgeting and saving,0.64,Human
chavezolivia,22,Female,Business,Productivity tools,0.42,AI
anita72,42,Female,Lifestyle,Personal development,0.34,AI
juliaharper,36,Male,Technology,Cybersecurity best practices,0.91,AI
jhenderson,35,Male,Technology,Gadget recommendations,0.39,Human
clarkalice,57,Male,Personal,Career coaching,0.75,Human
xhodge,41,Male,Health,Mental wellness,0.67,Human
dawnstephenson,59,Male,Technology,Gadget recommendations,0.79,AI
csimpson,65,Female,Financial,Retirement planning,0.89,AI
dlane,26,Male,Financial,Tax optimization,0.7,AI
wisekevin,45,Female,Lifestyle,Home organization hacks,1.0,Human
byrdivan,55,Male,Business,Marketing strategies,0.84,Human
mirandaalvin,31,Male,Personal,Life goal planning,0.73,Human
samanthavelasquez,48,Male,Lifestyle,Sustainable living tips,0.82,Human
crystal89,55,Female,Technology,Cybersecurity best practices,0.62,Human
andrew04,64,Other,Technology,Emerging tech trends,0.4,Human
steven55,61,Female,Lifestyle,Travel planning,0.11,AI
nathan55,44,Female,Health,Chronic illness management,0.47,Human
timothy11,24,Female,Business,Productivity tools,0.14,AI
choilinda,30,Female,Health,Mental wellness,0.79,AI
malvarado,44,Male,Health,Exercise routines,0.75,AI
jessicafisher,33,Female,Lifestyle,Personal development,0.53,AI
pgonzalez,44,Female,Lifestyle,Personal development,0.1,AI
harriselizabeth,38,Female,Lifestyle,Sustainable living tips,0.86,Human
williamsonshawn,61,Female,Financial,Investment strategies,0.15,Human
maria54,19,Female,Health,Chronic illness management,0.36,Human
rrogers,64,Male,Personal,Relationship advice,0.59,AI
xharvey,55,Other,Business,Starting a small business,0.95,Human
kevin32,32,Female,Personal,Relationship advice,0.78,Human
andrewgriffith,45,Male,Personal,Career coaching,0.83,Human
orodriguez,36,Male,Health,Chronic illness management,0.14,Human
bryanaguirre,60,Male,Lifestyle,Travel planning,0.8,Human
oscarsmith,19,Female,Lifestyle,Travel planning,0.61,AI
myersmatthew,64,Female,Lifestyle,Travel planning,0.53,AI
kirkbonnie,31,Male,Personal,Relationship advice,0.73,Human
hjuarez,19,Male,Technology,Gadget recommendations,0.27,Human
erinellis,59,Female,Health,Exercise routines,0.38,Human
martinezmichelle,37,Female,Lifestyle,Sustainable living tips,0.81,Human
aarondennis,26,Female,Business,Productivity tools,0.75,Human
jparker,47,Male,Health,Chronic illness management,0.01,Human
hannahwalker,69,Female,Personal,Stress management techniques,0.73,Human
carlos90,65,Male,Business,Starting a small business,0.12,AI
justin14,45,Male,Lifestyle,Travel planning,0.04,AI
ashleyhanson,28,Male,Health,Exercise routines,0.84,AI
jeffrey15,55,Male,Lifestyle,Home organization hacks,0.67,AI
catherine61,19,Female,Financial,Investment strategies,0.16,Human
zbautista,39,Female,Financial,Retirement planning,0.84,AI
daniel17,36,Female,Business,Productivity tools,0.78,Human
dominguezkatie,41,Female,Lifestyle,Home organization hacks,0.51,AI
morristhomas,57,Female,Health,Chronic illness management,0.41,Human
alee,40,Female,Personal,Life goal planning,0.63,AI
john13,19,Male,Financial,Budgeting and saving,0.9,AI
kristen47,60,Female,Business,Starting a small business,0.14,AI
adammullen,68,Male,Business,Marketing strategies,0.76,Human
michael32,37,Male,Lifestyle,Personal development,0.87,Human
gwendolyn53,46,Female,Personal,Life goal planning,0.58,AI
bondmegan,30,Female,Business,Leadership and management,0.51,AI
davisgregory,27,Female,Lifestyle,Home organization hacks,0.22,AI
boltoncatherine,37,Male,Personal,Relationship advice,0.57,AI
tommy94,18,Female,Lifestyle,Travel planning,0.6,AI
christina61,54,Male,Personal,Life goal planning,0.79,Human
steelejason,35,Female,Health,Chronic illness management,0.29,Human
rogersnatalie,30,Female,Health,Mental wellness,0.94,AI
bking,60,Female,Health,Exercise routines,0.31,Human
fevans,29,Female,Lifestyle,Personal development,0.51,AI
madison44,25,Male,Financial,Retirement planning,0.94,AI
william91,38,Female,Personal,Relationship advice,0.9,Human
lesliezamora,19,Female,Lifestyle,Personal development,0.05,AI
robert80,45,Female,Business,Marketing strategies,0.19,AI
pjones,70,Male,Business,Leadership and management,0.85,Human
boothgabriella,68,Male,Lifestyle,Travel planning,0.42,AI
davidmoon,19,Male,Technology,Emerging tech trends,0.75,AI
toddjulie,19,Male,Health,Chronic illness management,0.9,AI
ckey,62,Female,Technology,Gadget recommendations,0.65,Human
summersgarrett,48,Male,Health,Dietary advice,0.98,AI
portermarie,46,Female,Technology,Cybersecurity best practices,0.35,Human
myersfernando,22,Male,Personal,Relationship advice,0.39,AI
eklein,30,Female,Technology,Cybersecurity best practices,0.41,Human
ipope,68,Female,Business,Starting a small business,0.38,AI
gregory11,18,Female,Personal,Life goal planning,0.85,Human
amurphy,19,Female,Technology,Gadget recommendations,0.98,AI
kennetharmstrong,39,Female,Lifestyle,Sustainable living tips,0.12,AI
pmartin,41,Male,Business,Leadership and management,0.93,Human
carolyn97,27,Male,Health,Exercise routines,0.83,AI
kelsey43,46,Male,Personal,Life goal planning,0.83,Human
jason60,31,Male,Technology,Cybersecurity best practices,0.39,Human
ian01,69,Male,Technology,Cybersecurity best practices,0.99,AI
johnwilliams,21,Female,Personal,Relationship advice,0.63,AI
richard10,23,Male,Health,Chronic illness management,0.76,AI
sarahanthony,22,Female,Technology,Gadget recommendations,0.54,Human
williamskevin,23,Female,Personal,Stress management techniques,0.19,AI
lincathy,48,Female,Financial,Tax optimization,0.95,AI
zacharybrown,45,Female,Financial,Investment strategies,0.92,AI
snyderchristy,24,Male,Lifestyle,Travel planning,0.79,Human
haletroy,18,Female,Financial,Tax optimization,0.6,Human
benjaminsmith,62,Male,Lifestyle,Personal development,0.71,Human
johnhill,25,Female,Personal,Relationship advice,0.93,Human
rodriguezsydney,52,Female,Personal,Career coaching,0.85,Human
powellkayla,62,Female,Personal,Career coaching,0.41,AI
dana26,25,Female,Lifestyle,Sustainable living tips,0.39,AI
mendozakeith,43,Male,Business,Marketing strategies,0.93,Human
jimmy86,48,Male,Technology,Cybersecurity best practices,0.96,AI
pcoleman,62,Male,Lifestyle,Personal development,0.46,AI
devinadams,59,Male,Health,Dietary advice,0.56,Human
larsenchristopher,27,Female,Health,Chronic illness management,0.26,Human
ana52,47,Female,Lifestyle,Travel planning,0.51,AI
hrivera,21,Female,Lifestyle,Personal development,0.86,Human
thompsonjohn,35,Male,Business,Starting a small business,0.93,Human
amy06,36,Female,Personal,Life goal planning,0.92,Human
kimberlyrodriguez,34,Female,Personal,Stress management techniques,0.98,Human
danielbrown,31,Female,Technology,Gadget recommendations,0.76,AI
richard70,40,Female,Health,Dietary advice,0.78,AI
meganpalmer,61,Male,Business,Starting a small business,0.75,Human
tamara11,47,Female,Personal,Relationship advice,0.98,Human
davidjennifer,62,Female,Health,Chronic illness management,0.4,Human
aadams,48,Male,Lifestyle,Personal development,0.39,AI
hardychristian,28,Female,Financial,Retirement planning,0.78,AI
eleon,46,Female,Personal,Stress management techniques,0.34,AI
ethan82,68,Female,Health,Exercise routines,0.25,Human
brosario,59,Male,Personal,Stress management techniques,0.99,Human
sjordan,41,Female,Business,Marketing strategies,0.72,Human
derekfitzgerald,18,Female,Financial,Retirement planning,0.16,Human
mcgrathdavid,33,Female,Lifestyle,Personal development,0.36,AI
rivasrobin,26,Female,Technology,Emerging tech trends,0.66,Human
krausedanielle,20,Male,Business,Productivity tools,0.76,Human
garciaann,45,Female,Personal,Career coaching,0.03,AI
hwilliams,35,Female,Financial,Tax optimization,0.76,AI
wdavis,39,Male,Health,Mental wellness,0.55,Human
zgraham,65,Other,Technology,Cybersecurity best practices,0.75,AI
michaelware,41,Male,Technology,Cybersecurity best practices,0.68,Human
sarah89,30,Female,Financial,Budgeting and saving,0.98,AI
lindawilliams,49,Male,Technology,Emerging tech trends,0.94,AI
laurensmith,30,Female,Financial,Tax optimization,0.46,Human
maryrussell,30,Female,Health,Mental wellness,0.98,AI
michaelespinoza,57,Male,Financial,Budgeting and saving,0.09,Human
rgould,60,Male,Business,Starting a small business,0.97,Human
bdaniel,33,Male,Technology,Software development tips,0.06,Human
thomasmayo,49,Female,Business,Marketing strategies,0.92,Human
tsnyder,38,Male,Business,Productivity tools,0.78,Human
michaelmedina,56,Female,Technology,Software development tips,0.93,AI
pamelalevy,20,Male,Technology,Software development tips,0.95,AI
rmelendez,66,Other,Personal,Career coaching,0.05,AI
nelsonallison,54,Male,Technology,Gadget recommendations,0.83,AI
haneyjesus,66,Male,Lifestyle,Personal development,0.46,AI
victoria27,46,Female,Lifestyle,Personal development,0.18,AI
rebecca43,21,Female,Lifestyle,Sustainable living tips,0.89,Human
john31,64,Male,Personal,Career coaching,0.82,Human
whaas,44,Female,Lifestyle,Home organization hacks,0.74,Human
xcurry,68,Male,Lifestyle,Home organization hacks,0.7,Human
dunlappamela,23,Male,Health,Exercise routines,0.89,AI
cpeterson,42,Male,Personal,Life goal planning,0.84,Human
